,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
41,41,IND,Nathan Jawai\jawaina01,,2,45,431,126,106,24,.435,.000,.684,9.6,2.8,2.4,0.5,0.2,.020,-4.0,-0.2
42,42,SAC,Sean Singletary\singlse01,University of Virginia,1,37,303,90,35,29,.365,.400,.857,8.2,2.4,0.9,0.8,0.0,.006,-4.9,-0.2
43,43,SAC,Patrick Ewing\ewingpa02,Georgetown University,1,7,19,3,2,2,.000,.000,.750,2.7,0.4,0.3,0.3,-0.1,-.158,-9.3,0.0
44,44,UTA,Ante Tomic\tomican01,,,,,,,,,,,,,,,,,,
45,45,SAS,Goran Dragic\dragigo01,,10,676,18777,9111,2013,3242,.470,.364,.757,27.8,13.5,3.0,4.8,45.9,.117,1.3,15.7
46,46,SEA,Trent Plaisted,Brigham Young University Hawaii,,,,,,,,,,,,,,,,,
47,47,WAS,Bill Walker\walkebi01,Kansas State University,5,181,3016,1079,401,153,.446,.369,.760,16.7,6.0,2.2,0.8,5.0,.079,-1.3,0.5
48,48,PHO,Malik Hairston\hairsma01,University of Oregon,2,62,472,149,77,29,.512,.167,.514,7.6,2.4,1.2,0.5,0.8,.086,-1.9,0.0
49,49,GSW,Richard Hendrix,University of Alabama,,,,,,,,,,,,,,,,,
50,50,SEA,DeVon Hardin\hardide01,University of California,,,,,,,,,,,,,,,,,
51,51,DAL,Shan Foster,Vanderbilt University,,,,,,,,,,,,,,,,,
52,52,MIA,Darnell Jackson\jacksda01,University of Kansas,3,138,1039,308,203,26,.449,.235,.644,7.5,2.2,1.5,0.2,1.3,.059,-4.9,-0.7
53,53,UTA,Tadija Dragicevic\dragita01,,,,,,,,,,,,,,,,,,
54,54,HOU,Maarty Leunen\leunema01,University of Oregon,,,,,,,,,,,,,,,,,
55,55,POR,Mike Taylor\taylomi01,Iowa State University,1,51,771,289,87,106,.412,.325,.691,15.1,5.7,1.7,2.1,-0.4,-.028,-5.5,-0.7
56,56,SEA,Sasha Kaun\kaunsa01,University of Kansas,1,25,95,23,26,3,.529,,.455,3.8,0.9,1.0,0.1,0.2,.096,-0.8,0.0
57,57,SAS,James Gist,University of Maryland,,,,,,,,,,,,,,,,,
58,58,LAL,Joe Crawford\crawfjo01,University of Kentucky,1,2,23,9,4,1,.300,.250,1.000,11.5,4.5,2.0,0.5,0.0,.037,-5.6,0.0
59,59,DET,Deron Washington,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,
60,60,BOS,Semih Erden\erdense01,,2,69,928,262,190,29,.546,,.594,13.4,3.8,2.8,0.4,1.8,.094,-2.0,0.0
